EXEMPLAR_ID;ISBN;TITEL;AUTHOR;PUBLISHER;PUBLICATION;SUMMARY;LANGUAGE;LINK;PICTURE;AVAILABLE
11;978-1118957400;OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808;Jeanne Boyarsky, Scott Selikoff;John Wiley & Sons;06.02.2015;Full coverage of functional programming and all OCA Java Programmer exam objectives. OCA, Oracle Certified Associate Java SE 8 Programmer I Study Guide, Exam 1Z1-808 is a comprehensive study guide for those taking the Oracle Certified Associate Java SE 8 Programmer I exam (1Z1-808). With complete coverage of 100% of the exam objectives, this book provides everything you need to know to confidently take the exam. The release of Java 8 brought the language's biggest changes to date, and for the first time, candidates are required to learn functional programming to pass the exam. This study guide has you covered, with thorough functional programming explanation and information on all key topic areas Java programmers need to know. You'll cover Java inside and out, and learn how to apply it efficiently and effectively to create solutions applicable to real-world scenarios. * Work confidently with operators, conditionals, and loops * Understand object-oriented design principles and patterns * Master functional programming fundamentals;Englisch;http://www.amazon.de/OCA-Certified-Associate-Programmer-1Z0-808/dp/1118957407; ;T
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;

